timestamp,symbol,instrument_type,open,high,low,close,volume
2020-01-02 09:30:00,AAPL,stock,74.06,75.15,73.80,75.09,135480400
2020-01-02 09:30:00,MSFT,stock,158.78,160.73,158.33,160.62,22622100
2020-01-02 09:30:00,GOOGL,stock,67.42,68.43,67.32,68.43,27278000
2020-01-03 09:30:00,AAPL,stock,74.29,75.14,74.12,74.36,146322800
2020-01-03 09:30:00,MSFT,stock,158.32,159.95,158.06,158.62,21116200
2020-01-03 09:30:00,GOOGL,stock,67.40,68.69,67.37,68.08,23408000
2020-01-06 09:30:00,AAPL,stock,73.45,74.99,73.19,74.95,118387200
2020-01-06 09:30:00,MSFT,stock,157.08,159.10,156.51,159.03,20813700
2020-01-06 09:30:00,GOOGL,stock,67.58,69.92,67.55,69.89,46768000
2020-01-07 09:30:00,AAPL,stock,74.96,75.22,74.37,74.60,108872000
2020-01-07 09:30:00,MSFT,stock,159.32,159.67,157.32,157.58,21634100
2020-01-07 09:30:00,GOOGL,stock,70.02,70.18,69.58,69.76,34330000
2020-01-08 09:30:00,AAPL,stock,74.29,76.11,74.29,75.80,132079200
2020-01-08 09:30:00,MSFT,stock,158.93,160.80,157.95,160.09,27746500
2020-01-08 09:30:00,GOOGL,stock,69.74,70.59,69.63,70.25,35314000
2020-01-09 09:30:00,AAPL,stock,76.81,77.61,76.55,77.41,170108400
2020-01-09 09:30:00,MSFT,stock,161.84,162.22,161.03,162.09,21385000
2020-01-09 09:30:00,GOOGL,stock,71.10,71.43,70.51,70.99,33200000
2020-01-10 09:30:00,AAPL,stock,77.65,78.17,77.06,77.58,140644800
2020-01-10 09:30:00,MSFT,stock,162.82,163.22,161.18,161.34,20725900
2020-01-10 09:30:00,GOOGL,stock,71.47,71.75,70.98,71.45,26258000
2020-01-13 09:30:00,AAPL,stock,77.91,79.27,77.79,79.24,121532000
2020-01-13 09:30:00,MSFT,stock,161.76,163.31,161.26,163.28,21626500
2020-01-13 09:30:00,GOOGL,stock,71.76,72.07,71.27,72.00,30730000
2020-01-14 09:30:00,AAPL,stock,79.18,79.39,78.04,78.17,161954400
2020-01-14 09:30:00,MSFT,stock,163.39,163.60,161.72,162.13,23477400
2020-01-14 09:30:00,GOOGL,stock,72.00,72.13,71.39,71.53,26076000
2020-01-15 09:30:00,AAPL,stock,77.96,78.88,77.39,77.83,121923600
2020-01-15 09:30:00,MSFT,stock,162.62,163.94,162.57,163.18,21417900
2020-01-15 09:30:00,GOOGL,stock,71.65,72.04,71.58,71.96,21550000
2020-01-16 09:30:00,AAPL,stock,78.40,78.93,78.02,78.81,108829200
2020-01-16 09:30:00,MSFT,stock,164.35,166.24,164.03,166.17,23865400
2020-01-16 09:30:00,GOOGL,stock,72.27,72.54,72.00,72.51,26080000
2020-01-17 09:30:00,AAPL,stock,79.07,79.68,78.75,79.68,137816400
2020-01-17 09:30:00,MSFT,stock,167.42,167.47,165.43,167.10,34371700
2020-01-17 09:30:00,GOOGL,stock,73.13,74.03,72.83,73.98,52424000
2020-01-21 09:30:00,AAPL,stock,79.30,79.75,79.00,79.14,110843200
2020-01-21 09:30:00,MSFT,stock,166.68,168.19,166.43,166.50,29517200
2020-01-21 09:30:00,GOOGL,stock,73.95,74.49,73.51,74.11,48930000
2020-01-22 09:30:00,AAPL,stock,79.64,80.00,79.33,79.43,101832400
2020-01-22 09:30:00,MSFT,stock,167.40,167.49,165.68,165.70,24138800
2020-01-22 09:30:00,GOOGL,stock,74.49,75.03,74.13,74.19,28458000
2020-01-23 09:30:00,AAPL,stock,79.48,79.89,78.91,79.81,104472000
2020-01-23 09:30:00,MSFT,stock,166.19,166.80,165.27,166.72,19680800
2020-01-23 09:30:00,GOOGL,stock,74.38,74.68,74.02,74.23,26650000
2020-01-24 09:30:00,AAPL,stock,80.06,80.83,79.38,79.58,146537600
2020-01-24 09:30:00,MSFT,stock,167.51,167.53,164.45,165.04,24918100
2020-01-24 09:30:00,GOOGL,stock,74.64,74.71,73.16,73.31,29786000
2020-01-27 09:30:00,AAPL,stock,77.51,77.94,76.22,77.24,161940000
2020-01-27 09:30:00,MSFT,stock,161.15,163.38,160.20,162.28,32078100
2020-01-27 09:30:00,GOOGL,stock,71.58,71.83,70.97,71.59,34132000
2020-01-28 09:30:00,AAPL,stock,78.15,79.60,78.05,79.42,162234000
2020-01-28 09:30:00,MSFT,stock,163.78,165.76,163.07,165.46,24899900
2020-01-28 09:30:00,GOOGL,stock,72.09,72.74,71.52,72.53,29724000
2020-01-29 09:30:00,AAPL,stock,81.11,81.96,80.35,81.08,216229200
2020-01-29 09:30:00,MSFT,stock,167.84,168.75,165.69,168.04,34754500
2020-01-29 09:30:00,GOOGL,stock,72.92,73.21,72.27,72.83,21566000
2020-01-30 09:30:00,AAPL,stock,80.14,81.02,79.69,80.97,126743200
2020-01-30 09:30:00,MSFT,stock,174.05,174.05,170.79,172.78,51597500
2020-01-30 09:30:00,GOOGL,stock,71.90,72.76,71.75,72.71,27110000
2020-01-31 09:30:00,AAPL,stock,80.23,80.67,77.07,77.38,199588400
2020-01-31 09:30:00,MSFT,stock,172.21,172.40,169.58,170.23,36142700
2020-01-31 09:30:00,GOOGL,stock,73.39,73.48,71.35,71.64,43822000
2020-02-03 09:30:00,AAPL,stock,76.07,78.37,75.56,77.17,173788400
2020-02-03 09:30:00,MSFT,stock,170.43,174.50,170.40,174.38,30107000
2020-02-03 09:30:00,GOOGL,stock,73.08,74.32,72.83,74.13,71636000
2020-02-04 09:30:00,AAPL,stock,78.83,79.91,78.41,79.71,136616400
2020-02-04 09:30:00,MSFT,stock,177.14,180.64,176.31,180.12,36433300
2020-02-04 09:30:00,GOOGL,stock,72.72,73.37,71.10,72.27,95880000
2020-02-05 09:30:00,AAPL,stock,80.88,81.19,79.74,80.36,118826800
2020-02-05 09:30:00,MSFT,stock,184.03,184.20,178.41,179.90,39186300
2020-02-05 09:30:00,GOOGL,stock,73.18,73.23,71.48,72.30,36376000
2020-02-06 09:30:00,AAPL,stock,80.64,81.31,80.07,81.30,105425600
2020-02-06 09:30:00,MSFT,stock,180.97,183.82,180.06,183.63,27751400
2020-02-06 09:30:00,GOOGL,stock,72.60,74.08,72.52,73.80,37822000
2020-02-07 09:30:00,AAPL,stock,80.59,80.85,79.50,80.01,117684000
2020-02-07 09:30:00,MSFT,stock,182.85,185.63,182.48,183.89,33529100
2020-02-07 09:30:00,GOOGL,stock,73.37,74.26,73.27,73.96,28360000
2020-02-10 09:30:00,AAPL,stock,78.54,80.39,78.46,80.39,109348800
2020-02-10 09:30:00,MSFT,stock,183.58,188.84,183.25,188.70,35844300
2020-02-10 09:30:00,GOOGL,stock,73.86,75.44,73.76,75.43,38302000
2020-02-11 09:30:00,AAPL,stock,80.90,80.97,79.68,79.90,94323200
2020-02-11 09:30:00,MSFT,stock,190.65,190.70,183.50,184.44,53159900
2020-02-11 09:30:00,GOOGL,stock,75.66,76.49,75.27,75.50,34852000
2020-02-12 09:30:00,AAPL,stock,80.37,81.81,80.37,81.80,113730400
2020-02-12 09:30:00,MSFT,stock,185.58,185.85,181.85,184.71,47062900
2020-02-12 09:30:00,GOOGL,stock,75.79,76.01,75.43,75.93,31042000
2020-02-13 09:30:00,AAPL,stock,81.05,81.56,80.84,81.22,94747600
2020-02-13 09:30:00,MSFT,stock,183.08,186.23,182.87,183.71,35295800
2020-02-13 09:30:00,GOOGL,stock,75.50,76.30,75.20,75.67,22914000
2020-02-14 09:30:00,AAPL,stock,81.18,81.50,80.71,81.24,80113600
2020-02-14 09:30:00,MSFT,stock,183.25,185.41,182.65,185.35,23149500
2020-02-14 09:30:00,GOOGL,stock,75.73,76.00,75.28,75.94,23198000
2020-02-18 09:30:00,AAPL,stock,78.84,79.94,78.65,79.75,152531200
2020-02-18 09:30:00,MSFT,stock,185.61,187.70,185.50,187.23,27792200
2020-02-18 09:30:00,GOOGL,stock,75.72,76.53,75.55,75.97,25642000
2020-02-19 09:30:00,AAPL,stock,80.00,81.14,80.00,80.90,93984000
2020-02-19 09:30:00,MSFT,stock,188.06,188.18,186.47,187.28,29997500
2020-02-19 09:30:00,GOOGL,stock,76.36,76.54,76.05,76.24,22746000
2020-02-20 09:30:00,AAPL,stock,80.66,81.16,79.55,80.07,100566000
2020-02-20 09:30:00,MSFT,stock,186.95,187.25,181.10,184.42,36862400
2020-02-20 09:30:00,GOOGL,stock,75.95,76.35,75.21,75.85,25962000
2020-02-21 09:30:00,AAPL,stock,79.65,80.11,77.62,78.26,129554000
2020-02-21 09:30:00,MSFT,stock,183.17,183.50,177.25,178.59,48572600
2020-02-21 09:30:00,GOOGL,stock,75.23,75.55,73.92,74.17,42520000
2020-02-24 09:30:00,AAPL,stock,74.32,76.04,72.31,74.54,222195200
2020-02-24 09:30:00,MSFT,stock,167.77,174.55,163.23,170.89,68311100
2020-02-24 09:30:00,GOOGL,stock,71.15,71.82,70.34,70.99,49560000
2020-02-25 09:30:00,AAPL,stock,75.24,75.63,71.53,72.02,230673600
2020-02-25 09:30:00,MSFT,stock,174.20,174.84,167.65,168.07,68073300
2020-02-25 09:30:00,GOOGL,stock,71.55,71.84,69.02,69.32,51580000
2020-02-26 09:30:00,AAPL,stock,71.63,74.47,71.62,73.16,198054800
2020-02-26 09:30:00,MSFT,stock,169.71,173.26,168.21,170.17,56206100
